Time[s],Packet,Type,Identifier,Control,Data,CRC,ACK,RealTime
'0.056041300000000','356','DATA','0x00000141','0x8','0x5A0x5B0x5C0x5D0x5E0x5F0x600x61','0x4E30','ACK','1645191933.1489124'
'0.056338300000000','357','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.056385300000000','358','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.056555300000000','359','DATA','0x07B','0x8','0x5B0x5C0x5D0x5E0x5F0x600x610x62','0x7C2A','ACK','1645191933.1489124'
'0.056669300000000','360','DATA','0x00000141','0x8','0x5B0x5C0x5D0x5E0x5F0x600x610x62','0x1BFB','ACK','1645191933.1489124'
'0.056967300000000','361','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.057014300000000','362','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.057184300000000','363','DATA','0x07B','0x8','0x5C0x5D0x5E0x5F0x600x610x620x63','0x5FE5','ACK','1645191933.1489124'
'0.057297300000000','364','DATA','0x00000141','0x8','0x5C0x5D0x5E0x5F0x600x610x620x63','0x3834','ACK','1645191933.1489124'
'0.057594300000000','365','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.057641300000000','366','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.057811300000000','367','DATA','0x07B','0x8','0x5D0x5E0x5F0x600x610x620x630x64','0x7623','ACK','1645191933.1489124'
'0.057923300000000','368','DATA','0x00000141','0x8','0x5D0x5E0x5F0x600x610x620x630x64','0x11F2','ACK','1645191933.1489124'
'0.058220300000000','369','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.058267300000000','370','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.058437300000000','371','DATA','0x07B','0x8','0x5E0x5F0x600x610x620x630x640x65','0x0B84','ACK','1645191933.1489124'
'0.058549300000000','372','DATA','0x00000141','0x8','0x5E0x5F0x600x610x620x630x640x65','0x6C55','ACK','1645191933.1489124'
'0.058845300000000','373','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.058892300000000','374','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.059062300000000','375','DATA','0x07B','0x8','0x5F0x600x610x620x630x640x650x66','0x020E','ACK','1645191933.1489124'
'0.059176300000000','376','DATA','0x00000141','0x8','0x5F0x600x610x620x630x640x650x66','0x65DF','NAK','1645191933.1489124'
'0.059472300000000','377','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.059519300000000','378','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.059689300000000','379','DATA','0x07B','0x8','0x600x610x620x630x640x650x660x67','0x406C','ACK','1645191933.1489124'
'0.059801300000000','380','DATA','0x00000141','0x8','0x600x610x620x630x640x650x660x67','0x27BD','ACK','1645191933.1489124'
'0.060096300000000','381','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.060143300000000','382','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.060313300000000','383','DATA','0x07B','0x8','0x610x620x630x640x650x660x670x68','0x07C8','ACK','1645191933.1489124'
'0.060425300000000','384','DATA','0x00000141','0x8','0x610x620x630x640x650x660x670x68','0x6019','ACK','1645191933.1489124'
'0.060718300000000','385','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.060765300000000','386','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1489124'
'0.060935300000000','387','DATA','0x07B','0x8','0x620x630x640x650x660x670x680x69','0x48E6','ACK','1645191933.1489124'
'0.061045300000000','388','DATA','0x00000141','0x8','0x620x630x640x650x660x670x680x69','0x2F37','ACK','1645191933.1489124'
'0.061338300000000','389','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1489124'
'0.061385300000000','390','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
'0.061555300000000','391','DATA','0x07B','0x8','0x630x640x650x660x670x680x690x6A','0x7DD1','ACK','1645191933.1499116'
'0.061666300000000','392','DATA','0x00000141','0x8','0x630x640x650x660x670x680x690x6A','0x1A00','ACK','1645191933.1499116'
'0.061960300000000','393','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1499116'
'0.062007300000000','394','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
'0.062177300000000','395','DATA','0x07B','0x8','0x640x650x660x670x680x690x6A0x6B','0x3651','ACK','1645191933.1499116'
'0.062287300000000','396','DATA','0x00000141','0x8','0x640x650x660x670x680x690x6A0x6B','0x5180','ACK','1645191933.1499116'
'0.062581300000000','397','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1499116'
'0.062628300000000','398','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
'0.062798300000000','399','DATA','0x07B','0x8','0x650x660x670x680x690x6A0x6B0x6C','0x2CD6','ACK','1645191933.1499116'
'0.062908300000000','400','DATA','0x00000141','0x8','0x650x660x670x680x690x6A0x6B0x6C','0x4B07','ACK','1645191933.1499116'
'0.063202300000000','401','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1499116'
'0.063249300000000','402','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
'0.063419300000000','403','DATA','0x07B','0x8','0x660x670x680x690x6A0x6B0x6C0x6D','0x2EFE','ACK','1645191933.1499116'
'0.063530300000000','404','DATA','0x00000141','0x8','0x660x670x680x690x6A0x6B0x6C0x6D','0x492F','ACK','1645191933.1499116'
'0.063822300000000','405','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1499116'
'0.063869300000000','406','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
'0.064039300000000','407','DATA','0x07B','0x8','0x670x680x690x6A0x6B0x6C0x6D0x6E','0x28E1','ACK','1645191933.1499116'
'0.064149300000000','408','DATA','0x00000141','0x8','0x670x680x690x6A0x6B0x6C0x6D0x6E','0x4F30','ACK','1645191933.1499116'
'0.064442300000000','409','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1499116'
'0.064489300000000','410','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
'0.064659300000000','411','DATA','0x07B','0x8','0x680x690x6A0x6B0x6C0x6D0x6E0x6F','0x75EE','ACK','1645191933.1499116'
'0.064770300000000','412','DATA','0x00000141','0x8','0x680x690x6A0x6B0x6C0x6D0x6E0x6F','0x123F','ACK','1645191933.1499116'
'0.065064300000000','413','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1499116'
'0.065111300000000','414','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
'0.065281300000000','415','DATA','0x07B','0x8','0x690x6A0x6B0x6C0x6D0x6E0x6F0x70','0x1FDD','ACK','1645191933.1499116'
'0.065393300000000','416','DATA','0x00000141','0x8','0x690x6A0x6B0x6C0x6D0x6E0x6F0x70','0x780C','ACK','1645191933.1499116'
'0.065686300000000','417','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.1499116'
'0.065733300000000','418','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.1499116'
